"","Site","Longitute","Latitude","Depth","Date_Deploy","Date_Retrieve","Duration_Exposure","Grazer_ID","Grazer_re","Compartment","Species","Kelp_WW_Start","Kelp_WW_End","Consumption_Rate","resid","Test_Diameter","Test_Height","Whole_Weight","Test_Weight","Gonad_Weight","Gut_Weight","Lantern_Weight","Drained_Weight","Gonad_Index","Gut_Index"
"1","Sawtell",153.108782,-30.375104,7,2023-02-07,2023-02-10,3,"1","1","2","Centrostephanus rodgersii",41.32,39.56,0.574166666666666,-0.426614957044934,104,42,388,282.7,35.7,20.7,22.3,361.4,9.20103092783505,5.33505154639175
"2","Sawtell",153.108782,-30.375104,7,2023-02-07,2023-02-10,3,"1","1","4","Centrostephanus rodgersii",46.53,46.72,-0.0758333333333326,-0.966048707675366,92,57,339.2,249.1,17.8,30,22,318.9,5.24764150943396,8.84433962264151
"3","Sawtell",153.108782,-30.375104,7,2023-02-07,2023-02-10,3,"1","1","5","Centrostephanus rodgersii",37.93,39.05,-0.385833333333333,-1.44689231116244,98,56,417.5,278.2,37.2,7,26.5,348.9,8.91017964071856,1.67664670658683
"4","Sawtell",153.108782,-30.375104,7,2023-02-07,2023-02-10,3,"1","1","6","Centrostephanus rodgersii",36.95,38.16,-0.415833333333331,-1.39687573681204,99,57,378.8,290.7,11.9,23.1,49.2,374.9,3.1414994720169,6.09820485744456
"5","Sawtell",153.108782,-30.375104,7,2023-02-07,2023-02-10,3,"1","1","7","Heliocidaris erythrogramma",40.26,39.64,0.194166666666666,-0.0988869444980777,72,39,148,77.7,12.3,5.6,3.8,99.4,8.31081081081081,3.78378378378378
"6","Sawtell",153.108782,-30.375104,7,2023-02-07,2023-02-10,3,"1","1","8","Centrostephanus rodgersii",39.99,35.96,1.33083333333333,0.39463913086992,99,47,358.7,234.4,16.9,24.3,21.1,296.7,4.71145804293281,6.7744633398383
"7","Sawtell",153.108782,-30.375104,7,2023-02-07,2023-02-10,3,"1","1","9","Heliocidaris erythrogramma",41.5,41.36,0.0341666666666669,-0.177307242006445,41,18,26.5,23.6,0.5,2,1.2,27.3,1.88679245283019,7.54716981132075
"8","Sawtell",153.108782,-30.375104,7,2023-02-07,2023-02-10,3,"1","1","10","Heliocidaris erythrogramma",38.35,38.18,0.0441666666666672,-0.178424444902779,44,21,33.5,27.6,5.7,0.6,2,35.9,17.0149253731343,1.7910447761194
"9","Sawtell",153.108782,-30.375104,7,2023-02-07,2023-02-10,3,"1","1","11","Heliocidaris erythrogramma",38.41,38.58,-0.0691666666666672,-0.32484439042481,52,27,67.3,44.7,9.2,2,3.4,59.3,13.6701337295691,2.97176820208024
"10","Sawtell",153.108782,-30.375104,7,2023-02-07,2023-02-10,3,"1","1","12","Heliocidaris erythrogramma",40.14,40.06,0.0141666666666661,-0.231505626668763,51,25,54.5,36.2,2.3,1.8,2.6,42.9,4.22018348623853,3.30275229357798
