Site,Longitude,Latitude,Date,Sample_No,Per_Carbon_Factored,Per_Nitrogen_Factored,CN_Ratio,carbon_mol,nitrogen_mol,ratio_mol
FB,147.967609,-43.139916,1/10/2021,1,32.16,1.54,20.88311688,2.677768526,0.109921485,24.36073835
FB,147.967609,-43.139916,1/10/2021,2,34.98,1.29,27.11627907,2.912572856,0.092077088,31.6318959
FB,147.967609,-43.139916,1/10/2021,3,36.01,1.55,23.23225806,2.998334721,0.110635261,27.10107706
FB,147.967609,-43.139916,1/10/2021,4,34.89,1.21,28.83471074,2.905079101,0.086366881,33.63649438
FB,147.967609,-43.139916,1/10/2021,5,34.24,1.5,22.82666667,2.850957535,0.107066381,26.62794338
FB,147.967609,-43.139916,1/11/2021,1,30.3,1.41,21.4893617,2.522897585,0.100642398,25.06793984
FB,147.967609,-43.139916,1/11/2021,2,34.4,1.3,26.46153846,2.864279767,0.092790864,30.86812272
FB,147.967609,-43.139916,1/11/2021,3,28.68,1.52,18.86842105,2.388009992,0.108493933,22.01053946
FB,147.967609,-43.139916,1/11/2021,4,32.76,1.18,27.76271186,2.727726894,0.084225553,32.38597779
FB,147.967609,-43.139916,1/11/2021,5,29.88,1.3,22.98461538,2.487926728,0.092790864,26.81219497
FB,147.967609,-43.139916,1/12/2021,1,31.41,1.17,26.84615385,2.615320566,0.083511777,31.31678729
FB,147.967609,-43.139916,1/12/2021,2,34.03,1.02,33.3627451,2.833472107,0.072805139,38.91857276
FB,147.967609,-43.139916,1/12/2021,3,31.7,1.17,27.09401709,2.639467111,0.083511777,31.60592669
FB,147.967609,-43.139916,1/12/2021,4,33.6,1.02,32.94117647,2.797668609,0.072805139,38.4268012
FB,147.967609,-43.139916,1/12/2021,5,35.12,1.01,34.77227723,2.924229808,0.072091363,40.5628313
FB,147.967609,-43.139916,1/01/2022,1,32.38,1.12,28.91071429,2.696086595,0.079942898,33.72515463
FB,147.967609,-43.139916,1/01/2022,2,33.03,0.91,36.2967033,2.75020816,0.064953605,42.34111683
FB,147.967609,-43.139916,1/01/2022,3,34.73,0.96,36.17708333,2.891756869,0.068522484,42.20157681
FB,147.967609,-43.139916,1/01/2022,4,32.48,1.07,30.35514019,2.704412989,0.076374019,35.41011774
FB,147.967609,-43.139916,1/01/2022,5,33.69,1.06,31.78301887,2.805162365,0.075660243,37.07577805
FB,147.967609,-43.139916,1/03/2022,1,33.03,1.05,31.45714286,2.75020816,0.074946467,36.69563459
FB,147.967609,-43.139916,1/03/2022,2,33.5,1.25,26.8,2.789342215,0.089221984,31.26294754
FB,147.967609,-43.139916,1/03/2022,3,34.62,1.19,29.09243697,2.882597835,0.084939329,33.93713922
FB,147.967609,-43.139916,1/03/2022,4,34.22,1.17,29.24786325,2.849292256,0.083511777,34.1184483
FB,147.967609,-43.139916,1/03/2022,5,33.41,1.11,30.0990991,2.78184846,0.079229122,35.11143867
FB,147.967609,-43.139916,1/04/2022,1,33.58,1.19,28.21848739,2.796003331,0.084939329,32.91765266
FB,147.967609,-43.139916,1/04/2022,2,35.27,1.18,29.88983051,2.9367194,0.084225553,34.86732102
FB,147.967609,-43.139916,1/04/2022,3,34.8,1.14,30.52631579,2.897585346,0.08137045,35.60979885
