Site,Latitude,Longitude,Depth,Date_Deploy,Date_Retrieve,Duration_Exposure,Cage_ID,Compartment,Species,Test_Diameter,Test_Height,Whole_Weight,Test_Weight,Gonad_Weight,Gut_WW,Gut_DW,Lantern_Weight,Gonad_Index,Gut_Index,Drained_Weight,Kelp_WW_Start,Kelp_WW_End,Consumption_Rate,resid,Mean_Logger_Temp,Mean_Nitrogen,month,year,Time,dayofyear,daylength
Fortescue Bay,-43.1399,147.9676,7,8/10/2021,13/10/2021,5,1,1,Centrostephanus rodgersii,113,50,534.7,322.8,142,14.9,3.34,21,26.55694782,2.786609314,500.7,9.44,8.9,-0.168,-0.656276665,12.68929861,1.418,10,2021,18.908,281,12.85219377
Fortescue Bay,-43.1399,147.9676,7,8/10/2021,13/10/2021,5,1,2,Centrostephanus rodgersii,115,46,437.9,292.7,90.3,24.1,3.58,15.4,20.62114638,5.503539621,422.5,6.95,3.18,0.478,0.032813068,12.68929861,1.418,10,2021,18.908,281,12.85219377
Fortescue Bay,-43.1399,147.9676,7,8/10/2021,13/10/2021,5,1,3,Centrostephanus rodgersii,91,36,244.7,169.5,19,11.2,1.95,11.6,7.764609726,4.577033102,211.3,9.89,7.87,0.128,-0.191626185,12.68929861,1.418,10,2021,18.908,281,12.85219377
Fortescue Bay,-43.1399,147.9676,7,8/10/2021,13/10/2021,5,1,9,Centrostephanus rodgersii,75,36,191.8,135.5,32.9,6.2,0.98,8,17.15328467,3.232533889,182.6,8.95,6.63,0.188,-0.079072421,12.68929861,1.418,10,2021,18.908,281,12.85219377
Fortescue Bay,-43.1399,147.9676,7,8/10/2021,13/10/2021,5,1,10,Centrostephanus rodgersii,73,31,170,119.5,31.9,3.7,0.62,8.7,18.76470588,2.176470588,163.8,7.87,6.09,0.08,-0.16104046,12.68929861,1.418,10,2021,18.908,281,12.85219377
Fortescue Bay,-43.1399,147.9676,7,8/10/2021,13/10/2021,5,1,11,Centrostephanus rodgersii,93,41,297.8,201.8,58.7,13.2,2.25,12.1,19.71121558,4.432505037,285.8,8.72,7.26,0.016,-0.345998289,12.68929861,1.418,10,2021,18.908,281,12.85219377
Fortescue Bay,-43.1399,147.9676,7,8/10/2021,13/10/2021,5,2,4,Centrostephanus rodgersii,83,38,193.4,135.4,11.4,4,0.52,8.3,5.894519131,2.068252327,159.1,8.05,7.18,-0.102,-0.370864795,12.68929861,1.418,10,2021,18.908,281,12.85219377
Fortescue Bay,-43.1399,147.9676,7,8/10/2021,13/10/2021,5,2,5,Centrostephanus rodgersii,89,40,220.7,164,11,9.5,1.31,10.9,4.984141368,4.304485727,195.4,6.85,5.58,-0.022,-0.319354,12.68929861,1.418,10,2021,18.908,281,12.85219377
Fortescue Bay,-43.1399,147.9676,7,8/10/2021,13/10/2021,5,2,7,Centrostephanus rodgersii,111,64,495.7,185.9,84.3,27,2.99,20.3,17.00625378,5.446842848,317.5,5.92,4.18,0.072,-0.399936411,12.68929861,1.418,10,2021,18.908,281,12.85219377
Fortescue Bay,-43.1399,147.9676,7,8/10/2021,13/10/2021,5,2,9,Centrostephanus rodgersii,87,38,236.1,149,56.7,4.3,0.62,9.2,24.01524778,1.821262177,219.2,6.35,5.22,-0.05,-0.361906975,12.68929861,1.418,10,2021,18.908,281,12.85219377
Fortescue Bay,-43.1399,147.9676,7,8/10/2021,13/10/2021,5,2,11,Centrostephanus rodgersii,83,35,214.4,147.6,41.7,4.4,0.6,12.1,19.44962687,2.052238806,205.8,7.73,6.46,-0.022,-0.313105521,12.68929861,1.418,10,2021,18.908,281,12.85219377
Fortescue Bay,-43.1399,147.9676,7,8/10/2021,13/10/2021,5,2,12,Centrostephanus rodgersii,88,38,240.5,166.3,48.9,9.5,1.39,11.8,20.33264033,3.95010395,236.5,7.33,5.55,0.08,-0.23589083,12.68929861,1.418,10,2021,18.908,281,12.85219377
Fortescue Bay,-43.1399,147.9676,7,8/10/2021,13/10/2021,5,3,1,Centrostephanus rodgersii,76,35,163.9,117.9,24.9,5.8,1.08,8.6,15.19219036,3.538743136,157.2,7.31,5.54,0.078,-0.155156321,12.68929861,1.418,10,2021,18.908,281,12.85219377
